State,County,Diversity-Index,Black,American Indian,Asian,Native Hawaiian,Two or More Races,Hispanic/ Latino,White,Unemployment Rate 2013
CA,Alameda County,0.740399,12.4,1.2,28.2,1.0,5.2,22.7,33.2,7.216666666666668
CA,Alpine County,0.49144099999999996,0.4,23.9,0.9,0.0,2.9,9.8,66.4,9.533333333333333
CA,Amador County,0.34012600000000004,2.1,2.1,1.3,0.2,3.3,12.7,80.1,10.316666666666668
CA,Butte County,0.423592,1.8,2.4,4.4,0.3,4.1,15.1,74.1,10.233333333333333
CA,Calaveras County,0.305176,1.0,1.8,1.5,0.2,3.5,11.1,82.5,9.899999999999999
CA,Colusa County,0.527825,1.2,2.7,1.8,0.6,2.1,57.5,37.4,18.833333333333332
CA,Contra Costa County,0.686497,9.6,1.0,15.9,0.6,5.0,24.9,46.3,7.5
CA,Del Norte County,0.552126,3.7,9.1,3.7,0.2,4.7,19.1,63.1,11.666666666666666
CA,El Dorado County,0.355694,0.9,1.3,3.9,0.2,3.5,12.5,79.1,8.483333333333333
CA,Fresno County,0.618892,5.9,3.0,10.5,0.3,2.9,51.6,31.4,13.250000000000002
CA,Glenn County,0.550859,1.1,3.0,2.9,0.2,2.7,39.5,53.9,11.766666666666666
CA,Humboldt County,0.400875,1.3,6.2,2.5,0.3,5.3,10.5,76.2,8.066666666666666
CA,Imperial County,0.311687,3.5,2.6,2.4,0.2,1.8,81.8,12.8,24.916666666666668
CA,Inyo County,0.5233140000000001,0.9,12.7,1.5,0.1,3.1,20.8,64.5,7.8999999999999995
CA,Kern County,0.596651,6.3,2.7,5.0,0.3,3.0,50.9,36.9,11.683333333333332
CA,Kings County,0.59646,7.4,3.0,4.3,0.3,3.6,52.7,34.1,13.366666666666667
CA,Lake County,0.43341999999999997,2.0,4.1,1.3,0.3,4.4,18.4,72.7,10.916666666666666
CA,Lassen County,0.514288,8.5,4.1,1.4,0.6,3.5,18.2,66.5,10.616666666666667
CA,Los Angeles County,0.6618649999999999,9.2,1.5,14.6,0.4,2.9,48.3,27.2,9.683333333333334
CA,Madera County,0.552329,4.0,4.6,2.5,0.3,2.4,55.7,36.4,12.516666666666667
CA,Marin County,0.442392,2.8,1.1,6.0,0.3,3.7,15.7,72.6,5.2
CA,Mariposa County,0.31802199999999997,1.1,3.3,1.4,0.2,3.8,10.0,81.8,10.850000000000001
CA,Mendocino County,0.48983999999999994,1.0,6.3,2.1,0.2,3.9,23.5,67.0,8.35
CA,Merced County,0.576306,4.2,2.5,8.1,0.4,3.0,56.8,30.2,14.283333333333333
CA,Modoc County,0.372207,1.1,5.1,1.1,0.3,3.4,14.7,77.6,12.25
CA,Mono County,0.48249899999999996,0.7,2.8,1.7,0.3,2.5,27.6,66.3,8.733333333333334
CA,Monterey County,0.569329,3.6,2.7,6.9,0.6,3.7,56.8,31.6,10.283333333333335
CA,Napa County,0.583815,2.3,1.3,7.7,0.4,3.1,33.4,54.5,6.866666666666667
CA,Nevada County,0.252753,0.5,1.2,1.4,0.1,3.0,9.0,85.9,8.1
CA,Orange County,0.663094,2.1,1.1,19.2,0.4,3.2,34.2,42.6,6.616666666666667
CA,Placer County,0.417471,1.7,1.1,6.8,0.3,3.9,13.4,74.7,7.716666666666666
CA,Plumas County,0.279941,1.0,3.2,1.0,0.1,3.6,8.3,84.3,13.91666666666667
CA,Riverside County,0.624784,7.0,1.9,6.7,0.4,3.3,46.9,38.0,9.9
CA,Sacramento County,0.687281,10.8,1.6,15.4,1.2,5.9,22.3,47.3,8.85
CA,San Benito County,0.527412,1.3,3.1,3.4,0.4,3.3,57.9,36.6,10.966666666666667
CA,San Bernardino County,0.624636,9.5,2.0,7.1,0.5,3.4,51.1,31.4,9.75
CA,San Diego County,0.650181,5.6,1.3,11.7,0.6,4.2,32.9,47.2,7.833333333333333
CA,San Francisco County,0.679829,6.0,0.8,34.4,0.5,4.1,15.3,41.6,5.466666666666666
CA,San Joaquin County,0.6852229999999999,8.1,2.0,15.7,0.7,5.1,40.1,34.6,12.283333333333333
CA,San Luis Obispo County,0.461168,2.2,1.4,3.7,0.2,3.3,21.7,69.9,6.783333333333332
CA,San Mateo County,0.691029,3.0,0.9,26.9,1.6,4.4,25.4,41.1,5.3
CA,Santa Barbara County,0.583869,2.4,2.2,5.6,0.2,3.5,44.1,46.5,7.233333333333333
CA,Santa Clara County,0.694312,2.9,1.4,34.1,0.5,4.0,26.8,33.9,6.466666666666666
CA,Santa Cruz County,0.5439350000000001,1.4,1.8,4.8,0.2,4.0,32.9,58.6,10.166666666666666
CA,Shasta County,0.32550999999999997,1.0,3.1,2.8,0.2,4.2,9.1,81.4,11.75
CA,Sierra County,0.24406999999999998,0.4,1.9,0.4,0.1,2.4,9.2,86.4,12.65
CA,Siskiyou County,0.373131,1.5,4.7,1.3,0.3,4.9,11.6,78.0,13.100000000000001
CA,Solano County,0.725821,14.9,1.3,15.4,1.0,6.7,25.2,40.0,9.066666666666668
CA,Sonoma County,0.505207,1.9,2.2,4.1,0.4,3.7,25.9,65.1,7.066666666666666
CA,Stanislaus County,0.6011,3.2,1.9,5.8,0.9,3.8,43.5,45.1,12.883333333333333
CA,Sutter County,0.647059,2.4,2.3,16.2,0.4,4.2,29.6,48.6,14.600000000000001
CA,Tehama County,0.44947200000000004,0.9,3.3,1.3,0.2,3.4,23.5,70.2,11.5
CA,Trinity County,0.30083699999999997,0.6,5.1,0.9,0.2,5.0,7.1,83.0,11.983333333333333
CA,Tulare County,0.512942,2.2,2.8,4.0,0.2,2.4,62.3,30.9,14.35
CA,Tuolumne County,0.31947800000000004,2.1,2.2,1.3,0.2,3.2,11.2,81.6,10.766666666666666
CA,Ventura County,0.596774,2.2,1.9,7.3,0.3,3.3,41.5,47.3,7.883333333333333
CA,Yolo County,0.642001,3.0,1.8,13.5,0.6,4.9,31.3,48.8,9.016666666666667
CA,Yuba County,0.590487,3.9,3.0,7.2,0.5,5.9,26.9,57.1,13.1
